repo_name,ref,path,symlink_target,docker_base_image,repo_owner,repo
firebase/grpc-SwiftPM,refs/heads/main,tools/dockerfile/test/python_stretch_2.7_x64/Dockerfile,,stretch,firebase,grpc-SwiftPM
udevbe/greenfield,refs/heads/master,compositor-proxy/example-apps/gtk3-demo/Dockerfile,,buster,udevbe,greenfield
cbsan/docker-node,refs/heads/master,Dockerfile,,stretch,cbsan,docker-node
Tanzy/docker-plex,refs/heads/master,x86/Dockerfile,,stretch,Tanzy,docker-plex
kubernetes/k8s.io,refs/heads/main,images/k8s-infra/Dockerfile,,bullseye,kubernetes,k8s.io
istana/libnss-maria,refs/heads/master,docker/Dockerfile.unix_socket,,bullseye,istana,libnss-maria
sensebox/osem-archiver,refs/heads/master,Dockerfile,,stretch,sensebox,osem-archiver
mrorgues/dockerfiles,refs/heads/master,umbrello/Dockerfile,,stretch,mrorgues,dockerfiles
konstruktoid/dockerfiles,refs/heads/master,transmission-ui/Dockerfile,,buster,konstruktoid,dockerfiles
nixys/nxs-fw-ctl,refs/heads/master,build-pkgs-conf/pkg/general/usr/share/nxs-fw-ctl/tpls/1.12/new-proj-tpl/build-pkgs-conf/docker/debian-9/Dockerfile_tpl,,9,nixys,nxs-fw-ctl
