repo_name,ref,path,symlink_target
iitbmooc/bharatmooc-configuration,refs/heads/master,playbooks/edx-east/gerrit_deploy.yml,
shiver/portabox,refs/heads/master,playbook.yml,
lttng/lttng-ci,refs/heads/master,automation/ansible/playbooks/dist-upgrade.yml,
jpmontez/os-ansible-deployment,refs/heads/master,playbooks/utility-install.yml,
hausdorff/azure-quickstart-templates,refs/heads/master,couchbase-ansible/InitStorage_RAID.yml,
hausdorff/azure-quickstart-templates,refs/heads/master,ansible-advancedlinux/InitStorage_RAID.yml,
tvoran/docker-perf,refs/heads/master,playbooks/install-docker.yml,
tvoran/docker-perf,refs/heads/master,playbooks/install-collectd.yml,
vcabbage/todd,refs/heads/master,scripts/ansible-todd-dev.yml,
colemorgan/Central-Authentication-Access-Control,refs/heads/master,ansible/rpi.yml,
rahulraghatate/sp17-i524,refs/heads/master,project/S17-IR-P014/ansible/deploy.yml,
moisedo/azure-quickstart-templates,refs/heads/master,ansible-advancedlinux/InitStorage_RAID.yml,
Likeminded/Likeminded,refs/heads/master,infrastructure/provision.yml,
tmartinx/svauto,refs/heads/main,ansible/roles/webmin/molecule/default/prepare.yml,
galstrom21/rpc-openstack,refs/heads/master,rpcd/playbooks/configure-apt-sources.yml,
galstrom21/rpc-openstack,refs/heads/master,scripts/artifacts-building/containers/artifact-build-chroot.yml,
dockerlapaz/1-devops-terraform-ansible-docker,refs/heads/master,ansible/install-docker.yml,
kurron/aws-ec2-container-registry-experiment,refs/heads/master,packer/ansible/playbook.yml,
kurron/aws-ec2-container-registry-experiment,refs/heads/master,ansible/playbook.yml,
jiumx60rus/isso,refs/heads/master,ansible/site.yml,
alexanderturner/ansible,refs/heads/devel,test/utils/docker/httptester/httptester.yml,
MihaiMoldovanu/ansible,refs/heads/devel,test/utils/docker/httptester/httptester.yml,
LearnEra/LearnEra-Configuration,refs/heads/master,playbooks/edx-east/create_dbs.yml,
LearnEra/LearnEra-Configuration,refs/heads/master,playbooks/edx-east/gerrit_deploy.yml,
tobyscales/azure-quickstart-templates,refs/heads/master,ansible-advancedlinux/InitStorage_RAID.yml,
tobyscales/azure-quickstart-templates,refs/heads/master,couchbase-ansible/InitStorage_RAID.yml,
takekazuomi/azure-quickstart-templates,refs/heads/master,application-workloads/grafana/Telegraf-InfluxDB-Grafana/scripts/Configfiles/ansible/docker_install.yml,
takekazuomi/azure-quickstart-templates,refs/heads/master,application-workloads/ansible/ansible-advancedlinux/InitStorage_RAID.yml,
takekazuomi/azure-quickstart-templates,refs/heads/master,ansible-advancedlinux/InitStorage_RAID.yml,
openstack/openstack-ansible,refs/heads/master,playbooks/infra-journal-remote.yml,
stvstnfrd/configuration,refs/heads/master,playbooks/mongo_rolling_upgrade.yml,
stvstnfrd/configuration,refs/heads/master,playbooks/mongo_upgrade_hidden_secondaries.yml,
otsuarez/starmeup,refs/heads/master,tools/vagrant/mac-xcdc/playbook/webserver.yml,
otsuarez/starmeup,refs/heads/master,release/deploy.yml,
otsuarez/starmeup,refs/heads/master,tools/vagrant/mac-xcdc/playbook/nms.yml,
otsuarez/starmeup,refs/heads/master,tools/vagrant/mac-xcdc/playbook/lb.yml,
greghaynes/ursula,refs/heads/master,playbooks/ci-allinone/tasks/pre-deploy.yml,
greghaynes/ursula,refs/heads/master,upgrade.yml,
greghaynes/ursula,refs/heads/master,playbooks/ci-full/tasks/pre-deploy.yml,
greghaynes/ursula,refs/heads/master,playbooks/vagrant/predeploy.yml,
ybroze/neuralman,refs/heads/master,provision.yml,
mrhillsman/opclab,refs/heads/master,playbooks/prepare-swift-disks.yml,
Constellation-Solutions/azure-quickstart-templates,refs/heads/master,couchbase-ansible/InitStorage_RAID.yml,
