repo_name,ref,path,symlink_target,docker_base_image,repo_owner,repo
tarsoqueiroz/Docker,refs/heads/master,Study/Oreilly Kubernetes and Docker/s2d5/Dockerfile,,ubuntu:trusty,tarsoqueiroz,Docker
cyberitsolutions/alloc,refs/heads/master,Dockerfile,,debian:buster-slim,cyberitsolutions,alloc
lubkoll/Spacy,refs/heads/master,ci/Dockerfile,,ubuntu:16.04,lubkoll,Spacy
fishilico/shared,refs/heads/master,machines/Dockerfile-ubuntu1804-bionic,,ubuntu:18.04,fishilico,shared
google/google-ctf,refs/heads/master,2018/finals/re-drm/Dockerfile,,ubuntu:16.04,google,google-ctf
akmaharshi/jenkins,refs/heads/master,spring-boot-integration-tests/spring-boot-launch-script-tests/src/test/resources/conf/Ubuntu/trusty-20160503.1/Dockerfile,,ubuntu:trusty-20160503.1,akmaharshi,jenkins
InverseLina/dockerImg,refs/heads/master,jdk/latest/Dockerfile,,ubuntu:14.04,InverseLina,dockerImg
dalbhanj/kubernetes-aws-workshop,refs/heads/master,03-path-application-development/305-app-tracing-with-jaeger-and-x-ray/x-ray/x-ray-daemon/Dockerfile,,ubuntu:16.04,dalbhanj,kubernetes-aws-workshop
raphaelrpl/terrama2,refs/heads/master,docker/Dockerfile,,ubuntu:14.04,raphaelrpl,terrama2
opensds/opensds,refs/heads/master,cmd/osdsdock/Dockerfile,,ubuntu:16.04,opensds,opensds
codefresh-io/microci,refs/heads/master,vendor/github.com/docker/docker/builder/dockerfile/parser/testfiles/mumble/Dockerfile,,ubuntu:14.04,codefresh-io,microci
zhangyz/llvm-slicing,refs/heads/master,Dockerfile,,ubuntu:trusty,zhangyz,llvm-slicing
Symmetric/calico-docker,refs/heads/master,build_calicoctl/Dockerfile,,ubuntu:14.04,Symmetric,calico-docker
ZeerDonker/dockerfiles,refs/heads/master,syncthing_discovery/Dockerfile,,ubuntu:trusty,ZeerDonker,dockerfiles
indigo-dc/onedock,refs/heads/master,devel-env/wn/Dockerfile,,ubuntu:14.04.4,indigo-dc,onedock
tgracchus/spinnaker,refs/heads/master,experimental/kubernetes/images/cassandra/Dockerfile,,ubuntu:14.04,tgracchus,spinnaker
tbraun89/ansible-rails,refs/heads/develop,tests/Dockerfile.ubuntu-16.04,,ubuntu:16.04,tbraun89,ansible-rails
datawire/ambassador,refs/heads/master,docker/test-auth/Dockerfile,,ubuntu:18.04,datawire,ambassador
rwtaylor/realms-wiki,refs/heads/master,docker/Dockerfile,,ubuntu:trusty,rwtaylor,realms-wiki
mytliulei/boundless,refs/heads/master,docker/dockerfile/ScanSmb/tftpData/Dockerfile,,ubuntu:14.04,mytliulei,boundless
bamos/dream-art,refs/heads/master,Dockerfile,,ubuntu:14.04,bamos,dream-art
remijouannet/vpn_proxy,refs/heads/master,Dockerfile,,ubuntu:16.04,remijouannet,vpn_proxy
DavidAntliff/poolmon,refs/heads/master,services/mosquitto/Dockerfile.x86_64,,debian:stretch,DavidAntliff,poolmon
